project,repo_url,clone_path,size_kib,size_mib,clone_status,clone_details
ArgoUML,,,0,0.0,skip_no_url,Neo4j project has no repository URL
Dynamic Collections,https://github.com/jnape/Dynamic-Collections,/Users/havriil.pietukhin/uni/masterThesis/revamp/dataset/projects/jnape_Dynamic-Collections,0,0.0,clone_fail,"Cmd('git') failed due to: exit code(128)
  cmdline: git clone -v --depth=1 -- https://github.com/jnape/Dynamic-Collections /Users/havriil.pietukhin/uni/masterThesis/revamp/dataset/projects/jnape_Dynamic-Collections
  stderr: 'Cloning into '/Users/havriil.pietukhin/uni/masterThesis/revamp/dataset/projects/jnape_Dynamic-Collections'...
remote: Repository not found.
fatal: repository 'https://github.com/jnape/Dynamic-Collections/' not found
'"
JBoss Xerces,,,0,0.0,skip_no_url,Neo4j project has no repository URL
Market-monitor,https://github.com/localstorm/market-monitor,/Users/havriil.pietukhin/uni/masterThesis/revamp/dataset/projects/localstorm_market-monitor,0,0.0,clone_fail,"Cmd('git') failed due to: exit code(128)
  cmdline: git clone -v --depth=1 -- https://github.com/localstorm/market-monitor /Users/havriil.pietukhin/uni/masterThesis/revamp/dataset/projects/localstorm_market-monitor
  stderr: 'Cloning into '/Users/havriil.pietukhin/uni/masterThesis/revamp/dataset/projects/localstorm_market-monitor'...
remote: Repository not found.
fatal: repository 'https://github.com/localstorm/market-monitor/' not found
'"
Media Magpie,https://github.com/rwe17/MediaMagpie,/Users/havriil.pietukhin/uni/masterThesis/revamp/dataset/projects/rwe17_MediaMagpie,0,0.0,clone_fail,"Cmd('git') failed due to: exit code(128)
  cmdline: git clone -v --depth=1 -- https://github.com/rwe17/MediaMagpie /Users/havriil.pietukhin/uni/masterThesis/revamp/dataset/projects/rwe17_MediaMagpie
  stderr: 'Cloning into '/Users/havriil.pietukhin/uni/masterThesis/revamp/dataset/projects/rwe17_MediaMagpie'...
remote: Repository not found.
fatal: repository 'https://github.com/rwe17/MediaMagpie/' not found
'"
JARA,https://github.com/moobid/JARA,/Users/havriil.pietukhin/uni/masterThesis/revamp/dataset/projects/moobid_JARA,80,0.1,cloned,checkout present
Android Bootstrap,https://github.com/AndroidBootstrap/android-bootstrap,/Users/havriil.pietukhin/uni/masterThesis/revamp/dataset/projects/AndroidBootstrap_android-bootstrap,128,0.1,cloned,checkout present
Elasticsearch Transport Thrift,https://github.com/elasticsearch/elasticsearch-transport-thrift,/Users/havriil.pietukhin/uni/masterThesis/revamp/dataset/projects/elasticsearch_elasticsearch-transport-thrift,364,0.4,cloned,checkout present
OpenConext-crunche,https://github.com/OpenConext/OpenConext-cruncher,/Users/havriil.pietukhin/uni/masterThesis/revamp/dataset/projects/OpenConext_OpenConext-cruncher,496,0.5,cloned,checkout present
Lyra,https://github.com/jhalterman/lyra,/Users/havriil.pietukhin/uni/masterThesis/revamp/dataset/projects/jhalterman_lyra,560,0.5,cloned,checkout present
GitHub Pull Request Builder,https://github.com/mdelapenya/ghprb-plugin,/Users/havriil.pietukhin/uni/masterThesis/revamp/dataset/projects/mdelapenya_ghprb-plugin,892,0.9,cloned,checkout present
Orhanobut Logger,https://github.com/orhanobut/logger,/Users/havriil.pietukhin/uni/masterThesis/revamp/dataset/projects/orhanobut_logger,972,0.9,cloned,checkout present
Pusher Java Client,https://github.com/pusher/pusher-java-client,/Users/havriil.pietukhin/uni/masterThesis/revamp/dataset/projects/pusher_pusher-java-client,1028,1.0,cloned,checkout present
IRC Bot (c2nes/ircbot),https://github.com/c2nes/ircbot,/Users/havriil.pietukhin/uni/masterThesis/revamp/dataset/projects/c2nes_ircbot,1120,1.1,cloned,checkout present
Passsafe,https://github.com/iweinzierl/passsafe,/Users/havriil.pietukhin/uni/masterThesis/revamp/dataset/projects/iweinzierl_passsafe,1312,1.3,cloned,checkout present
Alfred MPI,https://github.com/furio/alfred-mpi,/Users/havriil.pietukhin/uni/masterThesis/revamp/dataset/projects/furio_alfred-mpi,1368,1.3,cloned,checkout present
Whydah - UserAdminService,https://github.com/altran/Whydah-UserAdminService,/Users/havriil.pietukhin/uni/masterThesis/revamp/dataset/projects/altran_Whydah-UserAdminService,2392,2.3,cloned,checkout present
Drugis Common,https://github.com/gertvv/drugis-common,/Users/havriil.pietukhin/uni/masterThesis/revamp/dataset/projects/gertvv_drugis-common,2784,2.7,cloned,checkout present
PhiCode Philib,https://github.com/PhiCode/philib,/Users/havriil.pietukhin/uni/masterThesis/revamp/dataset/projects/PhiCode_philib,3788,3.7,cloned,checkout present
Dagger,https://github.com/square/dagger,/Users/havriil.pietukhin/uni/masterThesis/revamp/dataset/projects/square_dagger,4260,4.2,cloned,checkout present
Tap4j,https://github.com/tupilabs/tap4j,/Users/havriil.pietukhin/uni/masterThesis/revamp/dataset/projects/tupilabs_tap4j,5016,4.9,cloned,checkout present
JUnit4,https://github.com/junit-team/junit4,/Users/havriil.pietukhin/uni/masterThesis/revamp/dataset/projects/junit-team_junit4,5396,5.3,cloned,checkout present
Netflix SimianArmy,https://github.com/Netflix/SimianArmy,/Users/havriil.pietukhin/uni/masterThesis/revamp/dataset/projects/Netflix_SimianArmy,5552,5.4,cloned,checkout present
Netflix Hystrix,https://github.com/Netflix/Hystrix,/Users/havriil.pietukhin/uni/masterThesis/revamp/dataset/projects/Netflix_Hystrix,5680,5.5,cloned,checkout present
JBoss Ballroom,https://github.com/hal/ballroom,/Users/havriil.pietukhin/uni/masterThesis/revamp/dataset/projects/hal_ballroom,6884,6.7,cloned,checkout present
