project,repo_url
IRC Bot (c2nes/ircbot),https://github.com/c2nes/ircbot
Passsafe,https://github.com/iweinzierl/passsafe
Alfred MPI,https://github.com/furio/alfred-mpi
Whydah - UserAdminService,https://github.com/altran/Whydah-UserAdminService
Drugis Common,https://github.com/gertvv/drugis-common
PhiCode Philib,https://github.com/PhiCode/philib
Dagger,https://github.com/square/dagger
Tap4j,https://github.com/tupilabs/tap4j
Pusher Java Client,https://github.com/pusher/pusher-java-client
JUnit4,https://github.com/junit-team/junit4
Netflix SimianArmy,https://github.com/Netflix/SimianArmy
Netflix Hystrix,https://github.com/Netflix/Hystrix
JBoss Ballroom,https://github.com/hal/ballroom
Facebook SDK for Android,https://github.com/facebook/facebook-android-sdk
Retrofit,https://github.com/square/retrofit
